,asset_id,name,owner,seller,buyer,burnable,date,price_usd,media,coll_name,coll_author,coll_market_fee
421582,1099520575963,Leonard in Hollywood,atomicmarket,bh4aw.wam,svwqu.wam,True,2021-10-28,2.8,https://ipfs.atomichub.io/ipfs/Qmac8xKz9yfx3FhHi2YTJ9gDwg11ZtvT7wEM9Vh6UxuyY6/Cards/01%20Base/Front/Nimoy_Cards_Base_Front_16.png,nimoy,nimoy,0.06
421593,1099559589407,Season 0 Bronze Trophy,xijbw.wam,2vpr4.wam,xijbw.wam,True,2021-10-25,100.2,https://ipfs.atomichub.io/ipfs/QmXDZTwzCgbdxKh4hxxCZBEm5krjwEU8AVAdwfaHmahxCd,zendodoparty,zendodoparty,0.08
421640,1099548483488,100 WAX,xbrhc.wam,l.ion,xbrhc.wam,True,2021-10-26,11.8,https://ipfs.atomichub.io/ipfs/QmaXE8St2vaUSzz1qQjjjjt7GQT7mQXsRNws6f9wFRHorp,graffk1ngsuk,graffitiking,0.15
421649,1099550976727,THΞ ℃R̸ŸⓟT✪ ₿£ΔR̸$ 93,cawaw.wam,l.ion,cawaw.wam,True,2021-10-26,20.19,https://ipfs.atomichub.io/ipfs/QmYHc2sceCKBHHAJXVRA1t1XDYmFCSWwYxXvHC7FUQdPsa,graffk1ngsuk,graffitiking,0.15
421840,1099566873417,Final Promo Pack,ctygu.wam,wihay.wam,ctygu.wam,True,2021-10-25,31.31,https://ipfs.atomichub.io/ipfs/QmbgH9WEhYyvrjndWaNxge5eouRt7GcwrBRhuubDaPzpne,drhemsworlds,drhemsworlds,0.05
422019,1099541352914,Shill-don Sticker,drwrk.wam,ybvfc.wam,drwrk.wam,True,2021-10-27,0.05,https://ipfs.atomichub.io/ipfs/Qmb25c5ydRKfAU129pby3uiKSfq2XkadVzEG3CKkXPjiZd,lumpiagangph,5lsb2.wam,0.08
422057,1099566275196,Viva Shard,db1rc.wam,pqwci.wam,db1rc.wam,True,2021-10-25,0.62,https://ipfs.atomichub.io/ipfs/QmPeXPshZXFrJ7sfXxsZBGY6WYpwdPUtkLandZBdcqXTma/19_viva_common_shard.png,novarallywax,novarallywax,0.03
422169,1099571543762,Alien Burial Ground,3qwr4.wam,l1qe4.wam,3qwr4.wam,True,2021-10-25,7.75,https://ipfs.atomichub.io/ipfs/QmdTYypB35CkjQNZhAHKQuWa22ka3SiMJpTG1bXHLSYQcH,virtualdream,oqbs2.wam,0.08
422170,1099562582075,Vicent - Gold,llblq.c.wam,wrlfi.wam,5l1vy.wam,True,2021-10-27,0.48,https://ipfs.atomichub.io/ipfs/QmTAmvxcacDehYWnK2Ztiv5imLeCWBCHxSNHHxnowuM4HW,mytreasures1,xlbr2.wam,0.15
422365,1099554208638,Checkered Polo,rorgw.wam,wrlfi.wam,b.yh2.wam,True,2021-10-26,0.28,https://ipfs.atomichub.io/ipfs/QmPsTuRRQtSzTzexVEvudaouhHm5oqSAyivodzf82vz2Sg/03_PupItems/08.2%20Checkered%20Polo.png,cryptopuppie,v.dr4.wam,0.08
422409,1099569805816,Mt. Pomé Orchards,desrg.wam,rgfhi.wam,desrg.wam,True,2021-10-25,109.59,https://ipfs.atomichub.io/ipfs/https://wrskn.io/001/blkcamo/017,warsaken,warsaken,0.05
422446,1099563455933,Grey Butterfly,.fkru.wam,wrlfi.wam,.fkru.wam,True,2021-10-26,0.02,https://ipfs.atomichub.io/ipfs/QmNjEq6gvVncpTx98JDqDhHPmn7MwDVAhQiu3Y6866rJDr,pngdivingwld,ypir2.wam,0.1
422507,1099569275928,Fisherman Gnome | Flaw,zgdum.wam,rkid.wam,zgdum.wam,True,2021-10-25,0.17,https://ipfs.atomichub.io/ipfs/QmUsy8dSU1ZQAP25eKFCGy4GRn8iQ2NAW8CEw5ASAzZ1md,gnomeseries1,hhvb2.wam,0.08
422594,1099562308235,Leopard Cat Head Punks,v55qy.wam,wrlfi.wam,v55qy.wam,True,2021-10-27,3.2,https://ipfs.atomichub.io/ipfs/QmejoWkThXAXDu1PRH1qxJZxQfbwvC7oHJ89kLVxch8Khz,catheadpunks,p44ba.wam,0.05
422646,1099565960561,Klemia,x13aq.wam,ybvfc.wam,x13aq.wam,True,2021-10-31,0.01,https://ipfs.atomichub.io/ipfs/QmP3EZpNTAakZ5AgNMR3Ja2QFbcjcz4S47rJC6zdqZK1Vp,spiritsidraw,1lcv4.wam,0.09
422653,1099564019081,Nepal Polm - 1 MD - Gold,vr5vu.wam,vv1rg.wam,vr5vu.wam,True,2021-10-25,7.51,https://ipfs.atomichub.io/ipfs/Qmc66B18vfodShtQrvT9fGxCawJJDoycutopYxcY4pTd2i,nonfungdrugs,t41u.wam,0.1
422666,1099514931588,Uncommon - Ti Amo - Collectible Love Community,s.rplanet,bh4aw.wam,pj5b4.wam,True,2021-10-25,21.92,https://ipfs.atomichub.io/ipfs/QmTEP2x3NYRgpFGXrL5UraaGx8RQznSpJA7BFKD8ixQa6C,upliftart,upliftart,0.09
422754,1099554208635,Vampire Blood,1jjrc.wam,wrlfi.wam,1jjrc.wam,True,2021-10-26,0.56,https://ipfs.atomichub.io/ipfs/QmPsTuRRQtSzTzexVEvudaouhHm5oqSAyivodzf82vz2Sg/03_PupItems/17.2%20Vampire%20Blood.png,cryptopuppie,v.dr4.wam,0.08
422845,1099562203249,nfTGIF Stream Promo 1,d3wau.wam,ybvfc.wam,d3wau.wam,True,2021-11-04,0.03,https://ipfs.atomichub.io/ipfs/QmTf74QC3us3dp7jDDxcFjYHQVTDZ7LUtQsvPhhnai8KKN,thebigbennft,xzir4.wam,0.05
422875,1099571434871,STONK CARD,zbklk.wam,wrpb2.wam,zbklk.wam,True,2021-11-06,36.89,https://ipfs.atomichub.io/ipfs/QmXajtXXJGdhgd5kkT7Bmj4871jLtUK1CPS2VzyjNcZipL,nftstonkersz,..vbc.wam,0.06
422883,1099563727382,Wow Smile Sir Solo,xamgw.wam,wrlfi.wam,xamgw.wam,True,2021-10-25,0.44,https://ipfs.atomichub.io/ipfs/Qmd2d3ioCRyax86vb5wbQT3J7BHAHk8FAT5XyGDCZaKeJ9,mytreasures1,xlbr2.wam,0.15
422894,1099571449358,The AtomiKing Poster,jl3aw.wam,rkrr4.wam,jl3aw.wam,True,2021-10-25,23.48,https://ipfs.atomichub.io/ipfs/QmT326MxCrzNYidaUUB27p3ZEueqwrRRwXUTn6Yf6GfVss,chaincreatrs,lnqb4.wam,0.1
422913,1099571552849,Large Refrigerated Boxcar,u54ba.wam,fvgba.wam,nd5sq.wam,True,2021-10-25,109.28,https://ipfs.atomichub.io/ipfs/QmRvChBbY3aSK2Sr7D4SbmNVUELxGo7WE9N6ZDXL7ZNFwE/railcars/Reefer-LG.png,centurytrain,centurytrain,0.08
422917,1099565822775,Promo_derpydino,isiha.wam,52cb2.wam,isiha.wam,True,2021-10-26,0.25,https://ipfs.atomichub.io/ipfs/QmdtTPgsubp1vBuoXPKwy98Zj9fQtopv1sAzSzRbkGsDnf,derpdinosaur,jiiti.wam,0.05
